85657,4613,4456,1637
13546,4651,5616,3153
24745,3135,4623,5425
21345,6123,1343,1523
21354,5313,1323,1354
53103,1330,3433,1511
56131,5854,6512,4542
31348,6796,4616,5763
16374,6165,7613,6461
35468,7864,1654,6313
74616,5786,9126,3240
32749,7194,3276,8352
72795,2545,6734,1215
85642,3427,8695,6421
76856,4216,7578,6276
85786,5978,9527,6785
96452,3785,1738,4167
41867,1876,8964,5315
37436,5313,7864,6131
37478,4615,5676,4447
35873,4134,3564,3167
89876,1312,5486,7641
23136,8746,7461,3434
53746,5413,7467,4678
42575,6896,3524,5242
45578,5685,5386,7523
78567,5245,3467,8452
42457,8645,3478,1154
54652,4562,5897,1931
97539,8669,3429,7835
23763,2765,1674,6876
15425,5784,6796,4651
32135,4987,6931,3457
69834,3456,7453,3212
24745,3135,4623,5425
42745,7867,8937,5241
