40473,5278,5279,5278
62465,2943,6426,4856
42167,2576,2756,2564
54652,4562,5897,1931
97539,8669,3429,7835
23763,2765,1674,6876
15425,5784,6796,4651
32135,4987,6931,3457
69834,3456,7453,3212
24745,3135,4623,5425
21345,6123,1343,1523
21354,5313,1323,1354
53103,1330,3433,1511
45274,5676,3824,5927
85642,3427,8695,6421
76856,4216,7578,6276
85786,5978,9527,6785
96452,3785,1738,4167
41867,1876,8964,5315
37436,5313,7864,6131
37478,4615,5676,4447
35873,4134,3564,3167
89876,1312,5486,7641
23136,8746,7461,3434
53746,5413,7467,4678
42575,6896,3524,5242
45578,5685,5386,7523
78567,5245,3467,8452
42457,8645,3478,1154
42745,7867,8937,5241
10000,7867,5245,7897
86452,1123,4578,9789
78527,5363,8627,4527
88524,7789,1385,6768
41313,7983,1373,1376
94613,7896,1354,6847
